date,channel,sessions,conversions,revenue
2020-11-01,Direct,288,2,114.0
2020-11-01,Organic Search,481,2,104.0
2020-11-01,Other,213,2,94.0
2020-11-01,Paid Search,54,0,0.0
2020-11-01,Referral,794,8,461.0
2020-11-01,Unknown,795,0,0.0
2020-11-02,Direct,363,5,339.0
2020-11-02,Email,2,0,0.0
2020-11-02,Organic Search,705,3,299.0
2020-11-02,Other,364,6,378.0
2020-11-02,Paid Search,82,2,79.0
2020-11-02,Referral,1335,33,3694.0
2020-11-02,Unknown,880,0,0.0
2020-11-03,Direct,456,4,120.0
2020-11-03,Organic Search,782,6,477.0
2020-11-03,Other,400,10,888.0
2020-11-03,Paid Search,88,0,0.0
2020-11-03,Referral,1696,29,1828.0
2020-11-03,Unknown,1934,0,0.0
2020-11-04,Direct,400,2,100.0
2020-11-04,Organic Search,843,1,68.0
2020-11-04,Other,423,15,357.0
2020-11-04,Paid Search,77,1,87.0
2020-11-04,Referral,1436,27,1585.0
2020-11-04,Unknown,1165,0,0.0
2020-11-05,Direct,433,1,120.0
2020-11-05,Email,1,0,0.0
2020-11-05,Organic Search,787,1,18.0
2020-11-05,Other,392,6,438.0
2020-11-05,Paid Search,87,0,0.0
2020-11-05,Referral,1465,18,1216.0
2020-11-05,Unknown,681,0,0.0
2020-11-06,Direct,385,6,637.0
2020-11-06,Organic Search,714,10,615.0
2020-11-06,Other,353,3,139.0
2020-11-06,Paid Search,81,0,0.0
2020-11-06,Referral,1262,39,2047.0
2020-11-06,Unknown,537,0,0.0
2020-11-07,Direct,282,3,73.0
2020-11-07,Organic Search,480,13,1131.0
2020-11-07,Other,236,2,223.0
2020-11-07,Paid Search,69,2,139.0
2020-11-07,Referral,832,11,965.0
2020-11-07,Unknown,384,0,0.0
2020-11-08,Direct,235,1,100.0
2020-11-08,Organic Search,454,5,176.0
2020-11-08,Other,227,4,508.0
2020-11-08,Paid Search,47,0,0.0
2020-11-08,Referral,785,22,2976.0
2020-11-08,Unknown,422,0,0.0
2020-11-09,Direct,351,2,85.0
2020-11-09,Organic Search,701,7,406.0
2020-11-09,Other,294,2,68.0
2020-11-09,Paid Search,63,0,0.0
2020-11-09,Referral,1240,41,1595.0
2020-11-09,Unknown,633,0,0.0
2020-11-10,Direct,392,8,514.0
2020-11-10,Organic Search,816,9,534.0
2020-11-10,Other,361,6,312.0
2020-11-10,Paid Search,78,1,62.0
2020-11-10,Referral,1552,40,2619.0
2020-11-10,Unknown,636,0,0.0
2020-11-11,Direct,337,6,438.0
2020-11-11,Organic Search,880,11,486.0
2020-11-11,Other,328,8,442.0
2020-11-11,Paid Search,108,2,106.0
2020-11-11,Referral,1489,37,2956.0
2020-11-11,Unknown,678,0,0.0
2020-11-12,Direct,410,5,400.0
2020-11-12,Organic Search,794,7,334.0
2020-11-12,Other,336,3,86.0
2020-11-12,Paid Search,74,0,0.0
2020-11-12,Referral,1431,39,2529.0
2020-11-12,Unknown,657,0,0.0
2020-11-13,Direct,368,7,665.0
2020-11-13,Organic Search,691,11,642.0
2020-11-13,Other,316,10,624.0
2020-11-13,Paid Search,71,0,0.0
2020-11-13,Referral,1331,51,3900.0
2020-11-13,Unknown,570,0,0.0
2020-11-14,Direct,242,2,141.0
2020-11-14,Organic Search,498,3,311.0
2020-11-14,Other,241,6,394.0
2020-11-14,Paid Search,47,0,0.0
2020-11-14,Referral,869,19,1492.0
2020-11-14,Unknown,472,0,0.0
2020-11-15,Direct,267,0,0.0
2020-11-15,Organic Search,488,5,220.0
2020-11-15,Other,212,2,67.0
2020-11-15,Paid Search,46,1,129.0
2020-11-15,Referral,755,13,1067.0
2020-11-15,Unknown,446,0,0.0
2020-11-16,Direct,378,9,564.0
2020-11-16,Organic Search,778,13,962.0
2020-11-16,Other,374,5,648.0
2020-11-16,Paid Search,74,1,38.0
2020-11-16,Referral,1343,41,2834.0
2020-11-16,Unknown,594,0,0.0
2020-11-17,Direct,437,11,933.0
2020-11-17,Organic Search,873,18,1273.0
2020-11-17,Other,395,7,244.0
2020-11-17,Paid Search,65,0,0.0
2020-11-17,Referral,1591,62,3777.0
2020-11-17,Unknown,718,0,0.0
2020-11-18,Direct,417,5,260.0
2020-11-18,Organic Search,914,10,486.0
2020-11-18,Other,309,4,69.0
2020-11-18,Paid Search,87,2,163.0
2020-11-18,Referral,1589,47,3597.0
2020-11-18,Unknown,817,0,0.0
2020-11-19,Direct,449,11,1106.0
2020-11-19,Organic Search,959,10,661.0
2020-11-19,Other,343,10,713.0
2020-11-19,Paid Search,75,0,0.0
2020-11-19,Referral,1564,53,3272.0
2020-11-19,Unknown,807,0,0.0
2020-11-20,Direct,461,9,912.0
2020-11-20,Organic Search,916,8,266.0
2020-11-20,Other,333,5,156.0
2020-11-20,Paid Search,88,5,268.0
2020-11-20,Referral,1598,91,7190.0
2020-11-20,Unknown,745,0,0.0
2020-11-21,Direct,292,6,248.0
2020-11-21,Organic Search,661,4,426.0
2020-11-21,Other,287,4,266.0
2020-11-21,Paid Search,58,6,210.0
2020-11-21,Referral,1129,48,3186.0
2020-11-21,Unknown,771,0,0.0
2020-11-22,Direct,308,10,548.0
2020-11-22,Organic Search,572,18,500.0
2020-11-22,Other,228,5,366.0
2020-11-22,Paid Search,63,0,0.0
2020-11-22,Referral,935,27,2014.0
2020-11-22,Unknown,583,0,0.0
2020-11-23,Direct,445,14,1542.0
2020-11-23,Organic Search,866,25,1198.0
2020-11-23,Other,334,16,408.0
2020-11-23,Paid Search,74,0,0.0
2020-11-23,Referral,1426,86,5334.0
2020-11-23,Unknown,823,0,0.0
2020-11-24,Direct,462,18,875.0
2020-11-24,Organic Search,971,30,3406.0
2020-11-24,Other,382,9,675.0
2020-11-24,Paid Search,93,1,22.0
2020-11-24,Referral,1743,89,5367.0
